fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col,f1_macro
0,bi_cebuano_bikol,bikol_test,mbert,80.0,0.829,0.8,0.155,0.6571,BCL+CEB,BCL,mBERT Embdng,BCL | mBERT Embdng,0.6806666666666666
0,bi_cebuano_bikol,cebuano_test,mbert,81.4286,0.837,0.814,0.158,0.6894,BCL+CEB,CEB,mBERT Embdng,CEB | mBERT Embdng,0.7879999999999999
0,bi_cebuano_bikol,tagalog_test,all,41.5094,0.273,0.415,0.28,0.1344,BCL+CEB,TGL,ALL (mBERT),TGL | ALL (mBERT),0.3383333333333334
0,bi_cebuano_bikol,bikol_test,all,86.6667,0.884,0.867,0.107,0.774,BCL+CEB,BCL,ALL (mBERT),BCL | ALL (mBERT),0.7943333333333333
0,bi_cebuano_bikol,cebuano_test,all,78.5714,0.785,0.786,0.159,0.6465,BCL+CEB,CEB,ALL (mBERT),CEB | ALL (mBERT),0.7406666666666667
0,bi_cebuano_bikol,tagalog_test,xlmr,30.1887,0.228,0.302,0.288,0.0146,BCL+CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.20633333333333334
0,bi_cebuano_bikol,bikol_test,xlmr,86.6667,0.885,0.867,0.097,0.7727,BCL+CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.7276666666666668
0,bi_cebuano_bikol,cebuano_test,xlmr,78.5714,0.788,0.786,0.161,0.6467,BCL+CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.7623333333333333
0,bi_cebuano_bikol,tagalog_test,all_xlmr,32.0755,0.245,0.321,0.287,0.0334,BCL+CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.24466666666666667
0,bi_cebuano_bikol,bikol_test,all_xlmr,83.3333,0.0,0.833,0.126,0.711,BCL+CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.6066666666666667
0,bi_cebuano_bikol,cebuano_test,all_xlmr,81.4286,0.837,0.814,0.158,0.6909,BCL+CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.798
0,bi_tagalog_cebuano,tagalog_test,trad,54.717,0.545,0.547,0.234,0.3139,CEB+TGL,TGL,TRAD,TGL | TRAD,0.53
0,bi_tagalog_cebuano,bikol_test,trad,50.0,0.642,0.5,0.173,0.2925,CEB+TGL,BCL,TRAD,BCL | TRAD,0.472
0,bi_tagalog_cebuano,cebuano_test,trad,85.7143,0.865,0.857,0.088,0.7727,CEB+TGL,CEB,TRAD,CEB | TRAD,0.859
0,bi_tagalog_cebuano,tagalog_test,trad_clgsngo,43.3962,0.412,0.434,0.292,0.1424,CEB+TGL,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.40233333333333327
0,bi_tagalog_cebuano,bikol_test,trad_clgsngo,56.6667,0.681,0.567,0.16,0.372,CEB+TGL,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.532
0,bi_tagalog_cebuano,cebuano_test,trad_clgsngo,87.1429,0.874,0.871,0.073,0.7957,CEB+TGL,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.8650000000000001
0,bi_tagalog_cebuano,tagalog_test,mbert,45.283,0.468,0.453,0.3,0.1564,CEB+TGL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.4136666666666667
0,bi_tagalog_cebuano,bikol_test,mbert,63.3333,0.842,0.633,0.096,0.466,CEB+TGL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.6
0,bi_tagalog_cebuano,cebuano_test,mbert,81.4286,0.817,0.814,0.132,0.6979,CEB+TGL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.7906666666666666
0,bi_tagalog_cebuano,tagalog_test,all,50.9434,0.549,0.509,0.268,0.247,CEB+TGL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.49433333333333335
0,bi_tagalog_cebuano,bikol_test,all,66.6667,0.889,0.667,0.067,0.5192,CEB+TGL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.6173333333333334
0,bi_tagalog_cebuano,cebuano_test,all,87.1429,0.87,0.871,0.089,0.7932,CEB+TGL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.8653333333333334
0,bi_tagalog_cebuano,tagalog_test,xlmr,50.9434,0.488,0.509,0.259,0.2486,CEB+TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.4663333333333333
0,bi_tagalog_cebuano,bikol_test,xlmr,70.0,0.8,0.7,0.095,0.55,CEB+TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.669
