fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col,f1_macro
0,all_languages,bikol_test,trad_clgsngo,73.3333,0.704,0.733,0.159,0.5604,ALL,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.623
0,all_languages,cebuano_test,trad_clgsngo,70.0,0.676,0.7,0.198,0.5155,ALL,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.6623333333333333
0,all_languages,tagalog_test,mbert,62.2642,0.625,0.623,0.198,0.4258,ALL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.613
0,all_languages,bikol_test,mbert,90.0,0.911,0.9,0.033,0.8413,ALL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.8663333333333334
0,all_languages,cebuano_test,mbert,74.2857,0.741,0.743,0.147,0.5909,ALL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.7103333333333334
0,all_languages,tagalog_test,all,58.4906,0.678,0.585,0.232,0.3586,ALL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.5539999999999999
0,all_languages,bikol_test,all,86.6667,0.892,0.867,0.039,0.7906,ALL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.8290000000000001
0,all_languages,cebuano_test,all,78.5714,0.795,0.786,0.106,0.6656,ALL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.7680000000000001
0,all_languages,tagalog_test,xlmr,56.6038,0.561,0.566,0.224,0.3411,ALL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.5346666666666667
0,all_languages,bikol_test,xlmr,86.6667,0.867,0.867,0.062,0.7861,ALL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.8153333333333332
0,all_languages,cebuano_test,xlmr,78.5714,0.781,0.786,0.128,0.6589,ALL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.7736666666666666
0,all_languages,tagalog_test,all_xlmr,60.3774,0.614,0.604,0.215,0.3918,ALL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.5683333333333334
0,all_languages,bikol_test,all_xlmr,86.6667,0.867,0.867,0.062,0.7861,ALL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.8153333333333332
0,all_languages,cebuano_test,all_xlmr,78.5714,0.781,0.786,0.128,0.6589,ALL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.7736666666666666
1,mono_tagalog,tagalog_test,trad,41.5094,0.0,0.415,0.324,0.0963,TGL,TGL,TRAD,TGL | TRAD,0.2916666666666667
1,mono_tagalog,bikol_test,trad,40.0,0.0,0.4,0.347,0.0476,TGL,BCL,TRAD,BCL | TRAD,0.22766666666666668
1,mono_tagalog,cebuano_test,trad,32.8571,0.0,0.329,0.199,0.0996,TGL,CEB,TRAD,CEB | TRAD,0.24866666666666667
1,mono_tagalog,tagalog_test,trad_clgsngo,41.5094,0.0,0.415,0.318,0.1002,TGL,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.2873333333333333
1,mono_tagalog,bikol_test,trad_clgsngo,40.0,0.0,0.4,0.347,0.0476,TGL,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.22766666666666668
1,mono_tagalog,cebuano_test,trad_clgsngo,32.8571,0.0,0.329,0.199,0.0996,TGL,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.24866666666666667
1,mono_tagalog,tagalog_test,mbert,52.8302,0.571,0.528,0.251,0.2775,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.49499999999999994
1,mono_tagalog,bikol_test,mbert,53.3333,0.559,0.533,0.237,0.2746,TGL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.4653333333333333
1,mono_tagalog,cebuano_test,mbert,44.2857,0.539,0.443,0.215,0.2022,TGL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.41733333333333333
1,mono_tagalog,tagalog_test,all,58.4906,0.642,0.585,0.22,0.367,TGL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.569
1,mono_tagalog,bikol_test,all,53.3333,0.551,0.533,0.249,0.267,TGL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.463
