fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,f1_macro
1,mono_tagalog,tagalog_test,mbert,60.3774,0.653,0.604,0.215,0.3931,0.5893333333333334
1,mono_tagalog,bikol_test,mbert,56.6667,0.599,0.567,0.22,0.3229,0.48633333333333334
1,mono_tagalog,cebuano_test,mbert,42.8571,0.521,0.429,0.22,0.1827,0.39599999999999996
1,mono_tagalog,tagalog_test,all,60.3774,0.649,0.604,0.212,0.3945,0.5883333333333334
1,mono_tagalog,bikol_test,all,53.3333,0.509,0.533,0.259,0.2553,0.4136666666666667
1,mono_tagalog,cebuano_test,all,48.5714,0.578,0.486,0.197,0.2522,0.441
1,mono_tagalog,tagalog_test,xlmr,58.4906,0.61,0.585,0.226,0.3642,0.574
1,mono_tagalog,bikol_test,xlmr,40.0,0.452,0.4,0.345,0.0476,0.25866666666666666
1,mono_tagalog,cebuano_test,xlmr,30.0,0.541,0.3,0.215,0.0561,0.2396666666666667
1,mono_tagalog,tagalog_test,all_xlmr,54.717,0.572,0.547,0.247,0.3034,0.5179999999999999
1,mono_tagalog,bikol_test,all_xlmr,43.3333,0.622,0.433,0.303,0.1146,0.2816666666666667
1,mono_tagalog,cebuano_test,all_xlmr,32.8571,0.546,0.329,0.206,0.0902,0.264
1,mono_bikol,tagalog_test,trad,41.5094,0.0,0.415,0.265,0.1398,0.3333333333333333
1,mono_bikol,bikol_test,trad,76.6667,0.0,0.767,0.184,0.593,0.5609999999999999
1,mono_bikol,cebuano_test,trad,57.1429,0.0,0.571,0.368,0.2274,0.4096666666666667
1,mono_bikol,tagalog_test,trad_clgsngo,39.6226,0.0,0.396,0.3,0.093,0.29833333333333334
1,mono_bikol,bikol_test,trad_clgsngo,70.0,0.0,0.7,0.213,0.4857,0.5093333333333333
1,mono_bikol,cebuano_test,trad_clgsngo,55.7143,0.0,0.557,0.363,0.2222,0.4183333333333333
1,mono_bikol,tagalog_test,mbert,45.283,0.0,0.453,0.281,0.1728,0.345
1,mono_bikol,bikol_test,mbert,60.0,0.581,0.6,0.256,0.337,0.5163333333333333
1,mono_bikol,cebuano_test,mbert,68.5714,0.691,0.686,0.147,0.5099,0.63
1,mono_bikol,tagalog_test,all,43.3962,0.0,0.434,0.288,0.1461,0.332
1,mono_bikol,bikol_test,all,63.3333,0.615,0.633,0.226,0.3956,0.5436666666666666
1,mono_bikol,cebuano_test,all,72.8571,0.717,0.729,0.145,0.5676,0.6833333333333332
1,mono_bikol,tagalog_test,xlmr,39.6226,0.0,0.396,0.285,0.1064,0.314
1,mono_bikol,bikol_test,xlmr,56.6667,0.547,0.567,0.285,0.2778,0.4873333333333334
1,mono_bikol,cebuano_test,xlmr,52.8571,0.426,0.529,0.258,0.2577,0.42133333333333334
1,mono_bikol,tagalog_test,all_xlmr,39.6226,0.0,0.396,0.288,0.1045,0.313
1,mono_bikol,bikol_test,all_xlmr,63.3333,0.615,0.633,0.226,0.3956,0.5436666666666666
1,mono_bikol,cebuano_test,all_xlmr,51.4286,0.425,0.514,0.265,0.2377,0.41933333333333334
1,mono_cebuano,tagalog_test,trad,47.1698,0.447,0.472,0.27,0.1996,0.414
1,mono_cebuano,bikol_test,trad,53.3333,0.528,0.533,0.234,0.2746,0.427
1,mono_cebuano,cebuano_test,trad,62.8571,0.622,0.629,0.28,0.3676,0.5373333333333333
1,mono_cebuano,tagalog_test,trad_clgsngo,47.1698,0.454,0.472,0.27,0.2013,0.424
1,mono_cebuano,bikol_test,trad_clgsngo,46.6667,0.452,0.467,0.26,0.1878,0.367
1,mono_cebuano,cebuano_test,trad_clgsngo,61.4286,0.552,0.614,0.268,0.3545,0.517
1,mono_cebuano,tagalog_test,mbert,43.3962,0.434,0.434,0.304,0.133,0.41133333333333333
1,mono_cebuano,bikol_test,mbert,40.0,0.71,0.4,0.196,0.1705,0.3453333333333333
1,mono_cebuano,cebuano_test,mbert,64.2857,0.66,0.643,0.165,0.4514,0.6146666666666667
1,mono_cebuano,tagalog_test,all,39.6226,0.411,0.396,0.325,0.0752,0.38833333333333336
1,mono_cebuano,bikol_test,all,36.6667,0.71,0.367,0.19,0.148,0.3383333333333334
1,mono_cebuano,cebuano_test,all,61.4286,0.639,0.614,0.177,0.4094,0.589
1,mono_cebuano,tagalog_test,xlmr,39.6226,0.392,0.396,0.316,0.0832,0.38999999999999996
1,mono_cebuano,bikol_test,xlmr,60.0,0.772,0.6,0.143,0.4231,0.5710000000000001
1,mono_cebuano,cebuano_test,xlmr,64.2857,0.647,0.643,0.176,0.4413,0.6066666666666667
1,mono_cebuano,tagalog_test,all_xlmr,41.5094,0.4,0.415,0.305,0.1138,0.4003333333333334
1,mono_cebuano,bikol_test,all_xlmr,60.0,0.785,0.6,0.131,0.434,0.5833333333333334
1,mono_cebuano,cebuano_test,all_xlmr,61.4286,0.617,0.614,0.194,0.3973,0.577
1,bi_bikol_tagalog,tagalog_test,trad,47.1698,0.555,0.472,0.249,0.2131,0.42500000000000004
1,bi_bikol_tagalog,bikol_test,trad,63.3333,0.548,0.633,0.239,0.3889,0.467
1,bi_bikol_tagalog,cebuano_test,trad,60.0,0.614,0.6,0.305,0.3123,0.48866666666666664
1,bi_bikol_tagalog,tagalog_test,trad_clgsngo,47.1698,0.546,0.472,0.252,0.2098,0.4163333333333333
1,bi_bikol_tagalog,bikol_test,trad_clgsngo,66.6667,0.569,0.667,0.23,0.4382,0.4963333333333333
1,bi_bikol_tagalog,cebuano_test,trad_clgsngo,52.8571,0.461,0.529,0.376,0.1673,0.4003333333333334
1,bi_bikol_tagalog,tagalog_test,mbert,56.6038,0.578,0.566,0.233,0.3411,0.5716666666666667
1,bi_bikol_tagalog,bikol_test,mbert,53.3333,0.517,0.533,0.291,0.2308,0.455
1,bi_bikol_tagalog,cebuano_test,mbert,58.5714,0.649,0.586,0.173,0.3754,0.5616666666666666
1,bi_bikol_tagalog,tagalog_test,all,64.1509,0.668,0.642,0.191,0.4557,0.6453333333333333
1,bi_bikol_tagalog,bikol_test,all,53.3333,0.535,0.533,0.311,0.2308,0.4896666666666667
1,bi_bikol_tagalog,cebuano_test,all,64.2857,0.675,0.643,0.161,0.4514,0.616
1,bi_bikol_tagalog,tagalog_test,xlmr,62.2642,0.627,0.623,0.192,0.4307,0.6183333333333333
1,bi_bikol_tagalog,bikol_test,xlmr,53.3333,0.555,0.533,0.254,0.2473,0.4306666666666667
1,bi_bikol_tagalog,cebuano_test,xlmr,54.2857,0.462,0.543,0.282,0.2488,0.43
1,bi_bikol_tagalog,tagalog_test,all_xlmr,60.3774,0.644,0.604,0.197,0.4048,0.5996666666666667
1,bi_bikol_tagalog,bikol_test,all_xlmr,56.6667,0.583,0.567,0.247,0.2935,0.4676666666666667
1,bi_bikol_tagalog,cebuano_test,all_xlmr,52.8571,0.451,0.529,0.287,0.229,0.42366666666666664
1,bi_cebuano_bikol,tagalog_test,trad,50.9434,0.656,0.509,0.246,0.2599,0.4466666666666667
1,bi_cebuano_bikol,bikol_test,trad,60.0,0.54,0.6,0.246,0.3407,0.45199999999999996
1,bi_cebuano_bikol,cebuano_test,trad,64.2857,0.648,0.643,0.246,0.4048,0.5326666666666667
1,bi_cebuano_bikol,tagalog_test,trad_clgsngo,41.5094,0.258,0.415,0.293,0.1195,0.3136666666666667
1,bi_cebuano_bikol,bikol_test,trad_clgsngo,63.3333,0.0,0.633,0.262,0.375,0.4613333333333333
1,bi_cebuano_bikol,cebuano_test,trad_clgsngo,70.0,0.771,0.7,0.2,0.5077,0.6296666666666667
1,bi_cebuano_bikol,tagalog_test,mbert,45.283,0.462,0.453,0.278,0.1745,0.371
1,bi_cebuano_bikol,bikol_test,mbert,60.0,0.534,0.6,0.266,0.3296,0.457
1,bi_cebuano_bikol,cebuano_test,mbert,74.2857,0.77,0.743,0.104,0.605,0.7173333333333334
1,bi_cebuano_bikol,tagalog_test,all,45.283,0.462,0.453,0.278,0.1745,0.371
1,bi_cebuano_bikol,bikol_test,all,66.6667,0.647,0.667,0.195,0.4595,0.574
1,bi_cebuano_bikol,cebuano_test,all,71.4286,0.728,0.714,0.132,0.5586,0.6906666666666667
1,bi_cebuano_bikol,tagalog_test,xlmr,45.283,0.464,0.453,0.281,0.1728,0.39366666666666666
1,bi_cebuano_bikol,bikol_test,xlmr,73.3333,0.732,0.733,0.171,0.5604,0.6786666666666666
1,bi_cebuano_bikol,cebuano_test,xlmr,67.1429,0.668,0.671,0.162,0.4869,0.6213333333333334
1,bi_cebuano_bikol,tagalog_test,all_xlmr,47.1698,0.53,0.472,0.27,0.2013,0.4046666666666667
1,bi_cebuano_bikol,bikol_test,all_xlmr,66.6667,0.691,0.667,0.162,0.4792,0.6103333333333333
1,bi_cebuano_bikol,cebuano_test,all_xlmr,70.0,0.711,0.7,0.15,0.5321,0.6573333333333333
1,bi_tagalog_cebuano,tagalog_test,trad,47.1698,0.0,0.472,0.274,0.1996,0.35766666666666663
1,bi_tagalog_cebuano,bikol_test,trad,46.6667,0.0,0.467,0.348,0.1257,0.311
1,bi_tagalog_cebuano,cebuano_test,trad,55.7143,0.0,0.557,0.252,0.295,0.4216666666666667
1,bi_tagalog_cebuano,tagalog_test,trad_clgsngo,47.1698,0.0,0.472,0.274,0.1996,0.35766666666666663
1,bi_tagalog_cebuano,bikol_test,trad_clgsngo,46.6667,0.0,0.467,0.338,0.1304,0.3096666666666667
1,bi_tagalog_cebuano,cebuano_test,trad_clgsngo,57.1429,0.0,0.571,0.247,0.3137,0.43166666666666664
1,bi_tagalog_cebuano,tagalog_test,mbert,49.0566,0.665,0.491,0.238,0.2492,0.43933333333333335
1,bi_tagalog_cebuano,bikol_test,mbert,53.3333,0.687,0.533,0.207,0.2893,0.4583333333333333
